,subj,TaskType,SentStruct,Lang_ACC,whichfirst,SStype,QLang1_firstsubj,QLang2_firstsubj,QLang
4179,121,Lang,ORC,1,LangFirst,high,yes,no,QLang1
4180,121,Lang,ORC,1,LangFirst,high,no,no,QLang2
4181,121,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4182,121,Lang,ORC,0,LangFirst,high,no,yes,QLang1
4183,121,Lang,ORC,0,LangFirst,high,no,yes,QLang2
4184,121,Lang,ORC,1,LangFirst,high,no,yes,QLang2
4185,121,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4186,121,Lang,ORC,0,LangFirst,high,no,yes,QLang1
4187,121,Lang,ORC,1,LangFirst,high,no,yes,QLang1
4188,121,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4189,121,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4190,121,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4191,121,Lang,ORC,1,LangFirst,high,no,yes,QLang1
4192,121,Lang,ORC,1,LangFirst,high,yes,no,QLang1
4193,121,Lang,ORC,1,LangFirst,high,yes,no,QLang1
4194,121,Lang,ORC,1,LangFirst,high,no,yes,QLang1
4195,121,Lang,SE,1,LangFirst,low,yes,no,QLang2
4196,121,Lang,SE,0,LangFirst,low,yes,no,QLang2
4197,121,Lang,SE,1,LangFirst,low,yes,no,QLang1
4198,121,Lang,SE,1,LangFirst,low,yes,no,QLang1
4199,121,Lang,SE,0,LangFirst,low,no,yes,QLang1
4200,121,Lang,SE,1,LangFirst,low,no,yes,QLang1
4201,121,Lang,SE,1,LangFirst,low,no,yes,QLang1
4202,121,Lang,SE,1,LangFirst,low,no,yes,QLang2
4203,121,Lang,SE,1,LangFirst,low,yes,no,QLang2
4204,121,Lang,SE,0,LangFirst,low,no,yes,QLang1
4205,121,Lang,SE,1,LangFirst,low,yes,no,QLang1
4206,121,Lang,SE,1,LangFirst,low,no,yes,QLang2
4207,121,Lang,SE,1,LangFirst,low,yes,no,QLang1
4208,121,Lang,SE,1,LangFirst,low,yes,no,QLang1
4209,121,Lang,SE,1,LangFirst,low,no,yes,QLang1
4210,121,Lang,SE,1,LangFirst,low,yes,no,QLang2
4211,121,Lang,SE,1,LangFirst,low,no,yes,QLang2
4212,121,Lang,SE,1,LangFirst,low,no,yes,QLang1
4213,121,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
4214,121,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
4215,121,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
4216,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4217,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4218,121,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
4219,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4220,121,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
4221,121,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
4222,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4223,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4224,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4225,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4226,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4227,121,Lang,SRC1,0,LangFirst,low,no,yes,QLang1
4228,121,Lang,SRC1,0,LangFirst,low,no,yes,QLang2
4229,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4230,121,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4231,121,Lang,SRC2,0,LangFirst,high,yes,no,QLang2
4232,121,Lang,SRC2,1,LangFirst,high,yes,no,QLang1
4233,121,Lang,SRC2,0,LangFirst,high,yes,no,QLang2
4234,121,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
4235,121,Lang,SRC2,0,LangFirst,high,yes,no,QLang1
4236,121,Lang,SRC2,1,LangFirst,high,yes,no,QLang1
4237,121,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4238,121,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
4239,121,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4240,121,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4241,121,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4242,121,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4243,121,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4244,121,Lang,SRC2,0,LangFirst,high,no,yes,QLang1
4245,121,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
4246,121,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
4247,121,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4248,121,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4321,122,Dual,ORC,1,LangFirst,high,yes,no,QLang2
4322,122,Dual,ORC,1,MusicFirst,high,no,yes,QLang2
4323,122,Dual,ORC,0,MusicFirst,high,yes,no,QLang1
4324,122,Dual,ORC,1,LangFirst,high,no,yes,QLang2
4325,122,Dual,ORC,1,MusicFirst,high,no,yes,QLang2
4326,122,Dual,ORC,1,MusicFirst,high,yes,no,QLang1
4327,122,Dual,ORC,1,LangFirst,high,yes,no,QLang2
4328,122,Dual,ORC,1,LangFirst,high,no,yes,QLang2
4329,122,Dual,ORC,1,LangFirst,high,yes,no,QLang2
4330,122,Dual,ORC,0,LangFirst,high,no,yes,QLang1
4332,122,Dual,ORC,0,LangFirst,high,yes,no,QLang2
